,Name,Degree,Betweenness Centrality,Eigenvector Centrality
0,LordBardolph,5,0.23671497584541062,0.013178425968197224
1,Porter,1,0.0,0.0014784524605809108
2,Northumberland,5,0.12657004830917873,0.0017373217703543526
3,Travers,1,0.0,0.0001949123772813524
4,Morton,2,0.0,0.001673364837862263
5,Falstaff,23,0.46593663448735917,0.4002842103496325
6,Page,8,0.0019024614676788588,0.2405756640930399
7,Justice,12,0.06377903363410609,0.28903688286071144
8,Servant,2,0.0,0.07732964703705529
9,Archbishop,5,0.1251207729468599,0.055653689634266736
10,Mowbray,5,0.0178743961352657,0.05559772348218351
11,Hastings,6,0.1497584541062802,0.05692704034586597
12,Fang,3,0.008989223337049424,0.07629098182333784
13,Hostess,11,0.10262491668288765,0.24386504359236416
14,Snare,2,0.0,0.03591568580767161
15,Gower,2,0.0,0.07732964703705529
16,Poins,5,0.0,0.1620788289695481
17,PrinceHenry,13,0.11830245975173512,0.3176809078944469
18,Bardolph,12,0.029208649643432248,0.2667508056799658
19,LadyNorthld,2,0.0,0.00021954474019954837
20,LadyPercy,2,0.0,0.00021954474019954837
21,Drawer,2,0.000644122383252818,0.028045034511117457
22,Francis,2,0.0014492753623188406,0.03050336686957909
23,Doll,9,0.05964649950157197,0.2194931635394334
24,Pistol,9,0.04796300854271869,0.24532084887490746
25,Peto,1,0.0,0.03563828577473473
26,KingHenry,9,0.061600031744959274,0.21336423044634736
27,Warwick,7,0.002700037482646178,0.1705745601275436
28,Shallow,9,0.008212560386473429,0.164088869696009
29,Silence,4,0.00024154589371980676,0.10258332989488851
30,Moldy,3,0.0,0.09323687781023995
31,Shadow,2,0.0,0.06331236016723572
32,Wart,1,0.0,0.04490466796927886
33,Feeble,3,0.0,0.09323687781023995
34,Bullcalf,3,0.0,0.09323687781023995
35,Messenger,2,0.0,0.012623630268538586
36,Westmorland,7,0.021256038647342993,0.11025697373920403
37,Lancaster,13,0.37071785970336707,0.26013149457632717
38,Coleville,2,0.0,0.07408712380136025
39,Gloucester,6,0.0,0.15945308145425674
40,Clarence,7,0.002700037482646178,0.17057456012754363
41,Harcourt,1,0.0,0.023935938956172104
42,Davy,4,0.00024154589371980676,0.10474481844526513
43,Beadle,2,0.0,0.05198035881056817
44,Groom1,1,0.0,0.0005797022646326335
45,Groom2,2,0.043478260869565216,0.005167546271925604
46,Groom3,2,0.08502415458937197,0.0454843702339115
