,Name,Degree,Betweenness Centrality,Eigenvector Centrality
0,Warwick,24,0.3388493568885726,0.34955203198822876
1,York,12,0.061665934709412965,0.23686971593833564
2,KingEdward,20,0.18252929966058692,0.30720388129784004
3,Montague,8,0.014725009526799813,0.1813674764312974
4,Gloucester,19,0.1460340975686244,0.3335579465515725
5,Norfolk,4,0.0,0.10272896056789083
6,KingHenry,18,0.22099938598233573,0.28905062279712046
7,Northumberland,8,0.00288599563109367,0.1950355795934128
8,Clifford,13,0.13547244552359644,0.24704763965078033
9,Westmorland,4,0.0,0.1008009805852886
10,Exeter,5,0.001054018445322793,0.13758607530927788
11,QueenMargaret,14,0.03431195079745804,0.29237568927227015
12,PrinceEdward,11,0.03532567941988232,0.2417130060852391
13,1Messenger,3,0.0,0.08186196574015815
14,SirJohn,1,0.0,0.022094136317484483
15,Rutland,1,0.0,0.023043403783068267
16,Tutor,1,0.0,0.023043403783068267
17,2Messenger,1,0.0,0.032604552253405986
18,3Messenger,1,0.0,0.023043403783068267
19,Clarence,11,0.05051986495081123,0.23329362675198756
20,Son,2,0.0,0.029734586135465448
21,Father,2,0.0,0.029734586135465448
22,1Keeper,2,0.0,0.029734586135465448
23,2Keeper,2,0.0,0.029734586135465448
24,LadyGrey,4,0.043478260869565216,0.08224411170310987
25,Nobleman,1,0.0,0.028654854335547812
26,KingLewis,5,0.009685990338164249,0.09143031779987634
27,Oxford,10,0.05310645071514637,0.21064782653219488
28,LadyBona,3,0.0,0.06840407699422503
29,1Post,2,0.00024154589371980676,0.02817645501102745
30,Somerset,8,0.018840961066025008,0.19314699208811584
31,Hastings,7,0.028462330035220064,0.11481059610009772
32,2Post,2,0.0,0.05041554687719557
33,1Watchman,3,0.017286548347929424,0.03855184427864096
34,2Watchman,4,0.025708620734196178,0.05503073501991967
35,3Watchman,2,0.0,0.008729030556914938
36,Rivers,1,0.0,0.00767151107444188
37,Huntsman,2,0.0,0.05976782942302138
38,Lieutenant,1,0.0,0.02696113251913504
39,3Post,1,0.0,0.032604552253405986
40,Mayor,4,0.0,0.0778865893196853
41,Montgomery,5,0.01553122874094741,0.07943253981728372
42,Soldier,2,0.0,0.01811875989701164
43,4Messenger,1,0.0,0.032604552253405986
44,5Messenger,1,0.0,0.032604552253405986
45,Somerville,2,0.0,0.061259406588606076
46,6Messenger,2,0.0,0.04219418069975015
